Name,Category,Active,URL,Age,DSL,Annotation,Task Language,Deployment,SaaS
Activepieces,Business Processing,Yes,https://github.com/activepieces/activepieces,2022-11,No,No,Typescript,"Docker, Kubernetes",Yes
AiiDA,Science,Yes,https://github.com/aiidateam/aiida-core,2012-10,No,Yes,Python,Docker,No
Apache Airflow,Data Science / ML,Yes,https://github.com/apache/airflow,2014-10,No,Yes,Python,"Docker, Kubernetes",No
Argo,Data Science / ML,Yes,https://github.com/argoproj/argo-workflows,2017-10,YAML,No,Any,Kubernetes,No
Arvados,Science,Yes,https://github.com/arvados/arv,2011-07,YAML,No,Any,Custom,No
Azkaban,Data Engineering,No,https://github.com/azkaban/azkaban,2012-04,YAML,No,Any,Custom,No
Brigade,Operations,No,https://github.com/brigadecore/brigade,2017-08,No,No,Any,Custom,No
Bytechef,Business Processing,Yes,https://github.com/bytechefhq/bytechef,2016-06,No,No,Java,Custom,Yes
Cabloy,Business Processing,No,https://github.com/cabloy/cabloy,2017-08,No,No,Javascript,Custom,No
Cadence,Business Processing,Yes,https://github.com/cadence-workflow/cadence,2016-10,No,No,"Go, Java",Docker,No
Camunda,Business Processing,Yes,https://github.com/camunda/camunda-bpm-platform,2012-03,XML,No,Java,Custom,Yes
CDS,Operations,Yes,https://github.com/ovh/cds,2016-10,YAML,No,Any,Docker,No
Celery Director,Business Processing,No,https://github.com/ovh/celery-director,2020-01,YAML,Yes,Python,Custom,No
CGraph,Data Science / ML,Yes,https://github.com/ChunelFeng/CGraph,2021-04,No,No,C++,Custom,No
CloudSlang,Operations,Yes,https://github.com/CloudSlang/cloud-slang,2014-10,YAML,No,Any,Custom,Yes
Conductor,Business Processing,Yes,https://github.com/conductor-oss/conductor,2016-12,JSON,No,Any,Docker,Yes
Copper Engine,Business Processing,No,https://github.com/copper-engine/copper-engine,2011-10,No,Yes,Java,Custom,No
Couler,Data Science / ML,No,https://github.com/couler-proj/couler,2020-08,No,No,Python,Custom,No
Covalent,Data Science / ML,Yes,https://github.com/AgnostiqHQ/covalent,2021-10,No,Yes,Python,Custom,Yes
Cromwell,Science,Yes,https://github.com/broadinstitute/cromwell,2015-04,Custom,No,Any,Custom,No
Cycl,Science,Yes,https://github.com/cylc/cylc-flow,2008-07,Custom,No,Python,Custom,No
Cyclone,Data Science / ML,No,https://github.com/caicloud/cyclone,2016-10,No,No,Any,Kubernetes,No
Dagu,Operations,Yes,https://github.com/dagu-org/dagu,2022-04,YAML,No,Any,Docker,No
Dagster,Data Engineering,Yes,https://github.com/dagster-io/dagster,2018-05,No,Yes,Python,Custom,Yes
Dapr Worflows,Business Processing,Yes,https://github.com/dapr/dapr,2019-06,No,No,Any,"Kubernetes, Serverless",No
Didact,Business Processing,No,https://github.com/DidactHQ/didact,2023-01,No,No,.Net,Custom,No
DigDag,Operations,No,https://github.com/treasure-data/digdag,2015-09,Custom,No,Java,Custom,No
Direktiv,Business Processing,Yes,https://github.com/direktiv/direktiv,2021-02,Custom,Yes,Rust,Custom,No
DolphinScheduler,Data Engineering,Yes,https://github.com/apache/dolphinscheduler,2019-02,No,Yes,Python,"Docker, Kubernetes",No
elsa-workflows,Business Processing,Yes,https://github.com/elsa-workflows/elsa-core,2018-09,No,No,.Net,Custom,No
easy-rules,Business Processing,No,https://github.com/j-easy/easy-rules,2013-03,No,Yes,Java,Custom,No
FireWorks,Operations,No,https://github.com/materialsproject/fireworks,2013-01,YAML,No,Any,Custom,No
Fission Workflows,Business Processing,No,https://github.com/fission/fission-workflows,2017-07,YAML,No,Any,Kubernetes,No
Flowable,Business Processing,Yes,https://github.com/flowable/flowable-engine,2012-09,XML,No,Java,Custom,No
Flor,Business Processing,No,https://github.com/floraison/flor,2015-11,No,No,Ruby,Custom,No
Flyte,Data Science / ML,Yes,https://github.com/flyteorg/flyte,2019-04,No,Yes,Python,Kubernetes,Yes
ForML,Data Science / ML,No,https://github.com/formlio/forml/,2018-12,No,No,Python,Custom,No
Galaxy Project,Science,Yes,https://github.com/galaxyproject/galaxy,2008-11,No,No,Python,Custom,No
